"ACCESSION_NUMBER","ID","PERSONSIGNATURE","PERSONTITLE","SIGNATUREDATE"
"0001665160-16-000078",1,"Briggs Porter","Head of Business Development","2016-06-13"
"0001665160-16-000078",2,"Bart Porter","COO","2016-06-13"
"0001670254-16-000056",1,"Josh Hare","Founder/CEO","2016-06-03"
"0001675554-16-000003",1,"Preston Swincher","CEO","2016-06-09"
"0001675554-16-000003",2,"Philip Kromer","President","2016-06-09"
"0001625242-16-000081",1,"/s/ Anders Stubkjaer","COO/CFO","2016-05-19"
"0001625242-16-000081",2,"/s/ John H. West","CEO","2016-06-06"
"0001675554-16-000001",2,"Philip Kromer","President","2016-06-02"
"0001670254-16-000055",1,"Josh Hare","Founder/CEO","2016-06-03"
"0001675554-16-000001",1,"Preston Swincher","CEO","2016-06-02"
"0001674180-16-000005",3,"William M. Steakley","Treasurer","2016-06-03"
"0001674180-16-000005",2,"Antonio T. Madrid","Secretary","2016-06-03"
"0001674180-16-000005",1,"Michael R. Dickson","President","2016-06-03"
"0001665160-16-000073",1,"Briggs Porter","Head of Business Development","2016-06-02"
"0001665160-16-000073",2,"Bart Porter","COO","2016-06-02"
"0001644600-16-000148",1,"Alex Thaler","Principal Executive Officer and Director","2016-06-02"
"0001644600-16-000148",3,"Jeff Yurecko","Principal Financial Officer, Principal Accounting Officer and Director","2016-06-02"
"0001644600-16-000148",2,"Marc Snover","Principal Executive Officer and Director","2016-06-02"
"0001644600-16-000146",1,"Alex Thaler","Principal Executive Officer and Director","2016-06-02"
"0001644600-16-000146",2,"Marc Snover","Principal Executive Officer and Director","2016-06-02"
"0001644600-16-000146",3,"Jeff Yurecko","Principal Financial Officer, Principal Accounting Officer and Director","2016-06-02"
"0001670254-16-000054",1,"Antony Evans","CEO","2016-05-16"
"0001670254-16-000053",1,"Antony Evans","CEO","2016-05-16"
"0001674180-16-000004",1,"Michael R. Dickson","Member","2016-05-25"
"0001674180-16-000004",2,"Antonio T. Madrid","Member","2016-05-20"
"0001674180-16-000004",3,"William M. Steakley","Member","2016-05-19"
"0001625242-16-000040",1,"/s/ Ryan Huss","COO","2016-05-25"
"0001625242-16-000032",1,"/s/ Yashar Behzadi","CEO","2015-09-17"
"0001665160-16-000071",1,"Christopher Panucci","President","2016-05-24"
"0001665160-16-000071",2,"William Kurtzner","Director","2016-05-24"
"0001625242-16-000025",1,"/s/ Anders Stubkjaer","COO/CFO","2016-05-19"
"0001674421-16-000003",2,"Thomas J. Kiefer","Member","2016-05-24"
"0001674421-16-000003",3,"Robert H. Losey","Member","2016-05-24"
"0001674421-16-000003",1,"Linda S. Losey","Member","2016-05-24"
"0001445866-16-002207",1,"/s/ Stephen M. Cutter Jr","CEO","2016-05-20"
"0001670254-16-000052",1,"Christopher Fisher","CEO","2016-05-18"
"0001670254-16-000051",1,"Geoffrey Libby","Managing Member","2016-05-23"
"0001670254-16-000051",2,"Nick A. Olivero","Managing Member","2016-05-16"
"0001670254-16-000049",2,"Joseph K Crocker","Member","2016-05-19"
"0001670254-16-000049",1,"David A. Camiener","Member","2016-05-20"
"0001670254-16-000047",1,"Christopher Fisher","CEO","2016-05-18"
"0001670254-16-000045",1,"Martin Kessler","COO","2016-05-17"
"0001670254-16-000044",1,"Andrew Freedman","CTO","2016-05-17"
"0001670254-16-000043",3,"Geoffrey M. O'Keeffe","Director","2016-05-16"
"0001670254-16-000043",4,"Kimberly Coupounas","Member, Board of Directors","2016-05-16"
"0001670254-16-000043",2,"Anne Maleady","Director","2016-05-16"
"0001670254-16-000043",1,"Thomas H Vogl, Jr","Director","2016-05-16"
"0001665160-16-000070",1,"Chris Hone","Co-Founder / Chief Sales Officer","2016-05-17"
"0001670254-16-000042",2,"Alan Tabor","Board Member","2016-05-17"
"0001670254-16-000042",1,"Richard Ying","Vice President","2016-05-17"
"0001665160-16-000069",1,"Akhil Garland","Director","2016-05-17"
"0001665160-16-000069",2,"Rory Hurley","Director of Software Development","2016-05-17"
"0001670254-16-000040",1,"Jacob Epstein","CoFounder","2016-05-16"
"0001670254-16-000037",1,"David Nelson","Director of Business Development","2016-05-16"
"0001670254-16-000035",1,"Jim Nguyen","CTO","2016-05-16"
"0001670254-16-000035",2,"Robert Angarita","Director","2016-05-16"
"0001670254-16-000032",1,"Joshua Cook","CEO","2016-05-16"
"0001674319-16-000003",2,"/s/ Todd Cory O'Halloran","CFO, Director","2016-05-16"
"0001670254-16-000030",2,"Daniel Tucholski","CTO","2016-05-15"
"0001674319-16-000003",1,"/s/ Michael Patrick Moormeier","CEO, Director","2016-05-16"
"0001670254-16-000024",1,"Nick A. Olivero","Managing Member","2016-05-16"
"0001670254-16-000030",3,"Arlene Garcia-Gunderson","President/Co-Founder","2016-05-15"
"0001670254-16-000026",1,"Andy Fox","CEO","2016-05-16"
"0001670254-16-000030",1,"Daniil Brodovich","CEO of TalkToChef / Cookstream, Inc.","2016-05-15"
"0001670254-16-000022",2,"Jeffrey S. Hitchcock","Board Member, Public Benefit Director","2016-05-16"
"0001670254-16-000022",1,"Gilbert Clarke","Chief Operating and Financial Officer, Treasurer","2016-05-16"
"0001670254-16-000022",3,"Serafina Raskin","VP General Counsel, Secretary","2016-05-16"
"0001670254-16-000022",4,"Edward Raskin","VP Benefit Officer, Board Member","2016-05-16"
"0001644600-16-000137",1,"Charles Stack","CEO, CFO, Chief Accounting Officer, Sole Director","2016-05-16"
"0001644600-16-000134",3,"Ryan Fisher","COO and Voting Member","2016-05-16"
"0001644600-16-000134",2,"Taylor Myers","CTO and Voting Member","2016-05-16"
"0001644600-16-000134",1,"Paul LaPorte","CEO and Voting Member","2016-05-16"
"0001670254-16-000020",2,"Paul Scanlan","Cofounder & CEO","2016-05-16"
"0001670254-16-000020",1,"Terri Lubaroff","Secretary","2016-05-16"
"0001665160-16-000068",1,"Matthew McLemore","Secretary/UX Designer","2016-05-16"
"0001665160-16-000067",1,"Christopher Panucci","Director","2016-05-16"
"0001644600-16-000132",2,"Ralf-Rainer von Albedyhll","CEO & CFO, Director, Principal Accounting Officer","2016-05-16"
"0001644600-16-000132",1,"Oliver Mandt-Rauch","President & COO, Director","2016-05-16"
"0001665160-16-000058",1,"Akhil Garland","Director","2016-05-15"
"0001670254-16-000016",1,"Matt Gorecki","COO","2016-05-16"
"0001665160-16-000056",1,"Matthew McLemore","Secretary/UX Designer","2016-05-15"
"0001665160-16-000055",2,"Rory Hurley","Director of Software Development","2016-05-16"
"0001665160-16-000055",1,"Akhil Garland","Director","2016-05-16"
"0001670254-16-000015",1,"John McDougall","Assistant manager/treasurer","2016-05-16"
"0001670254-16-000012",2,"Mikael Dren","President and COO","2016-05-16"
"0001670254-16-000012",1,"Jim Nyberg","Director Global Sales","2016-05-16"
"0001670254-16-000010",1,"Jody Hall","Ceo","2016-05-16"
"0001670254-16-000008",1,"Bernard Loyd","President","2016-05-16"
"0001674421-16-000002",1,"Linda S. Losey","Manager, Member","2016-05-16"
"0001674421-16-000002",3,"Robert H. Losey","Member","2016-05-16"
"0001674421-16-000002",2,"Thomas J. Kiefer","Member","2016-05-16"
"0001674180-16-000002",1,"Michael R. Dickson","President","2016-05-12"
"0001674180-16-000002",3,"William M. Steakley","Treasurer","2016-05-12"
"0001674180-16-000002",2,"Antonio T. Madrid","Secretary","2016-05-12"
"0001670254-16-000002",1,"Antony Evans","CEO","2016-05-16"
"0001644600-16-000127",1,"David Baird","CEO, CFO, Chief Accounting Officer, Sole Director","2016-05-16"
"0001669760-16-000047",1,"Linda S. Losey","Manager, Member","2016-05-16"
"0001669760-16-000047",3,"Robert H. Losey","Member","2016-05-16"
"0001669760-16-000047",2,"Thomas J. Kiefer","Member","2016-05-16"
"0001665160-16-000129",1,"Abbey Konowitch","Founder, Executive Producer","2016-09-30"
"0001684715-16-000001",1,"Amrita Karnani","Manager","2016-09-29"
"0001679413-16-000001",1,"/s/ Dave Girgenti","CEO","2016-09-27"
"0001685706-16-000003",3,"Adam Snyder","Manager","2016-09-27"
"0001685706-16-000003",2,"Andre Wasserman","Manager","2016-09-27"
"0001685706-16-000003",1,"Hugo Gamboa","Manager","2016-09-27"
"0001685706-16-000001",3,"Adam Snyder","Manager","2016-09-27"
"0001685706-16-000001",1,"Hugo Gamboa","Manager","2016-09-27"
"0001685706-16-000001",2,"Andre Wasserman","Manager","2016-09-27"
"0001683142-16-000001",1,"OKAN EROL","PRESIDENT / CEO","2016-09-27"
"0001680454-16-000004",4,"Mokyi Chow","Secretary/Chief Creative Director, Director","2016-09-26"
"0001680454-16-000004",2,"/s/ Martin Sherene","CFO/CTO, Director","2016-09-26"
"0001680454-16-000004",1,"/s/ Yue Niu","CEO, Director","2016-09-26"
"0001665160-16-000128",2,"Gary Fenton","Founder and Managing Partner","2016-09-26"
"0001665160-16-000128",1,"William Koch","Founder and Managing Partner","2016-09-26"
"0001680454-16-000004",3,"/s/ Michael Ashe","Chief Product Officer, Director","2016-09-26"
"0001670254-16-000139",1,"Kori Chen","COO","2016-09-26"
"0001682864-16-000006",1,"Dexter Dixon","President","2016-09-16"
"0001685446-16-000001",1,"Alan Fine","Manager, Crudefunders LLC","2016-09-26"
"0001684570-16-000002",1,"Kencle Windross","President","2016-09-23"
"0001665160-16-000126",1,"Abbey Konowitch","Founder, Executive Producer","2016-09-26"
"0001681772-16-000003",1,"Ricardo Barbaran","CEO","2016-09-26"
"0001669191-16-000046",4,"Andy Fox","Board Member","2016-09-20"
"0001669191-16-000046",3,"Andy Fox","Principal Accounting Officer","2016-09-20"
"0001669191-16-000046",1,"Andy Fox","Principal Executive Officer","2016-09-20"
"0001669191-16-000046",2,"Andy Fox","Principal Financial Officer","2016-09-20"
"0001685501-16-000001",1,"Shenghua Hong","President/CEO","2016-09-23"
"0001670254-16-000138",1,"Mikael Dren","President & COO","2016-09-23"
"0001670254-16-000137",1,"Kimberly Coupounas","Member, Board of Directors","2016-09-23"
"0001670254-16-000137",2,"Geoffrey M. O'Keeffe","Director","2016-09-23"
"0001684972-16-000001",1,"Jessica Hughes","Manager","2016-09-21"
"0001670254-16-000135",1,"Solomon Engel","CEO","2016-09-21"
"0001670254-16-000133",1,"Keith Sherrill","Founder | CEO","2016-09-21"
"0001669191-16-000035",4,"Andy Fox","Board Member","2016-09-20"
"0001669191-16-000035",2,"Andy Fox","Principal Financial Officer","2016-09-20"
"0001669191-16-000035",1,"Andy Fox","Principal Executive Officer","2016-09-20"
"0001669191-16-000035",3,"Andy Fox","Principal Accounting Officer","2016-09-20"
"0001665160-16-000092",1,"Ron Chernesky","CEO","2016-09-21"
"0001665160-16-000092",2,"Andrew Freedman","CTO","2016-09-21"
"0001685112-16-000006",1,"Eric Johnson","President","2016-09-20"
"0001685112-16-000004",1,"Eric Johnson","President","2016-09-20"
"0001685112-16-000005",1,"Eric Johnson","President","2016-09-20"
"0001685112-16-000003",1,"Eric Johnson","President","2016-09-20"
"0001685112-16-000001",1,"Eric Johnson","President","2016-09-20"
"0001670254-16-000132",1,"Jacob Muhleman","President and CEO","2016-09-19"
"0001665160-16-000091",1,"Storm Sondors","Founder","2016-09-19"
"0001670254-16-000130",1,"Michael Macadaan","President / CEO","2016-09-16"
"0001665160-16-000089",1,"Storm Sondors","Founder","2016-09-16"
"0001670254-16-000128",1,"Todd O'Halloran","Secretary Treasurer","2016-09-14"
"0001670254-16-000128",2,"Raymond D. Moss","V.P. - Lead Trainer","2016-09-15"
"0001670254-16-000127",1,"David Nelson","Director of Business Development","2016-09-14"
"0001670254-16-000126",2,"Geoffrey McDonnell O'Keeffe","Board of Directors","2016-09-13"
"0001670254-16-000126",1,"Anne Maleady","Board of Directors","2016-09-13"
"0001670254-16-000124",1,"Kavitha Gopalan","Co-founder and CMO","2016-09-13"
"0001670254-16-000122",1,"Blake Squires","Partner Hatch Services LLC","2016-09-06"
"0001670254-16-000122",4,"Jon Stahl","Director","2016-09-08"
"0001670254-16-000122",2,"Rebecca Lynn White","Director","2016-09-06"
"0001670254-16-000122",5,"Kevin L. Cash","Chief Financial Officer - Baker & Hostetler LLP","2016-09-09"
"0001670254-16-000122",3,"David Haynes","Director","2016-09-07"
"0001625242-16-000171",1,"/s/ Ryan Huss","COO","2016-07-28"
"0001670254-16-000121",1,"Kori Chen","COO","2016-09-07"
"0001670254-16-000118",3,"Serafina Raskin","General Counsel, Corporate Secretary","2016-09-08"
"0001670254-16-000119",1,"Soren Berg","Co-Founder","2016-09-08"
"0001670254-16-000118",4,"Edward Raskin","VP Public Benefit Development and Corporate Strategy","2016-09-08"
"0001670254-16-000119",2,"Joe Waltman","CEO","2016-09-08"
"0001670254-16-000118",1,"Jeff Hitchcock","Benefit Director","2016-09-08"
"0001670254-16-000118",2,"Gilbert Clarke","CFO","2016-09-08"
"0001670254-16-000116",1,"William Stern","Co Director","2016-09-07"
"0001670254-16-000116",2,"Mark McLeod","Secretary, Treasurer","2016-09-07"
"0001670254-16-000116",3,"Jennifer Kassan","President","2016-09-07"
"0001682697-16-000003",1,"Dexroy Donaldson","President","2016-09-02"
"0001670254-16-000115",1,"Daniel Tucholski","CTO","2016-09-06"
"0001670254-16-000115",2,"Daniil Brodovich","Board member","2016-09-06"
"0001670254-16-000115",3,"Arlene Gunderson","President/Co-Founder","2016-09-06"
"0001670254-16-000115",4,"Timothy M. O'Connor","CEO","2016-09-06"
"0001670254-16-000114",1,"Naehalani Breeland","Marketing Director","2016-09-06"
"0001670254-16-000114",2,"Chris Whidden","Brand Manager","2016-09-06"
"0001670254-16-000114",3,"Brett Jacobson","CEO","2016-09-06"
"0001670254-16-000113",1,"Mikael Drene","COO & President","2016-09-01"
"0001683638-16-000001",1,"LaVonne Idlette","President","2016-09-01"
"0001679373-16-000005",1,"Brandi LeAnn DeCarli","Director","2016-08-31"
"0001679373-16-000005",2,"Scott Stewart Thompson","Director","2016-08-31"
"0001445095-16-000006",1,"Philip Kithil","CEO","2016-08-31"
"0001682240-16-000001",1,"Thuy-My Luong","Chief Executive Officer","2016-08-30"
"0001682240-16-000001",2,"Sandy Tran","Chief Financial Officer","2016-08-29"
"0001683513-16-000004",1,"Noe Perrin Fontana","President","2016-08-30"
"0001670254-16-000112",2,"Adam Tucker","Founder / CEO","2016-08-29"
"0001670254-16-000112",1,"Matthew Leebert","Founder / CTO","2016-08-29"
"0001675554-16-000005",2,"Philip Kromer","President","2016-08-29"
"0001675554-16-000005",1,"Preston Swincher","CEO","2016-08-29"
"0001676480-16-000003",2,"Jacob Maddux","Owner","2016-08-25"
"0001682915-16-000011",1,"Rexford R. Hibbs","CEO","2016-08-29"
"0001676480-16-000003",1,"Ali Sabzevari","Manager","2016-08-23"
"0001683264-16-000001",1,"Buddy Doyle","President","2016-08-29"
"0001644600-16-000185",2,"Taylor Myers","CTO and Voting Member","2016-08-29"
"0001644600-16-000185",3,"Ryan Fisher","COO and Voting Member","2016-08-29"
"0001644600-16-000185",1,"Paul LaPorte","CEO and Voting Member","2016-08-29"
"0001670254-16-000111",1,"Nick A. Olivero","Managing Member","2016-08-27"
"0001670254-16-000111",2,"Geoffrey Libby","Operations Manager","2016-08-27"
"0001674180-16-000007",1,"Michael Dickson","Member","2016-07-18"
"0001674180-16-000007",2,"Antonio Madrid","Member","2016-07-18"
"0001674180-16-000007",3,"William Steakley","Member","2016-07-18"
"0001682915-16-000009",1,"Rexford Raymond Hibbs","CEO","2016-08-25"
"0001670254-16-000110",3,"Serafina Raskin","General Counsel, Corporate Secretary","2016-08-26"
"0001670254-16-000110",4,"Edward Raskin","VP Public Benefit Development and Corporate Strategy","2016-08-26"
"0001670254-16-000110",1,"Jeff Hitchcock","Benefit Director","2016-08-26"
"0001670254-16-000110",2,"Gilbert Clarke","CFO","2016-08-26"
"0001683099-16-000001",1,"Carl H. Charles","President","2016-08-26"
"0001679373-16-000004",1,"Brandi LeAnn DeCarli","Director","2016-08-26"
"0001679373-16-000004",2,"Scott Stewart Thompson","Director","2016-08-26"
"0001670254-16-000107",1,"David A Needham","CEO/CO-founder","2016-08-25"
"0001682495-16-000009",1,"Patrick Noel","President","2016-08-25"
"0001682664-16-000002",1,"James E.Ward Jr","President/CEO","2016-08-25"
"0001682664-16-000001",1,"James E.Ward Jr","President/CEO","2016-08-23"
"0001682883-16-000001",1,"Henry N Johnson","President","2016-08-24"
"0001670254-16-000105",2,"Jim Nyberg","Sales Director","2016-08-22"
"0001670254-16-000106",2,"Jim Nyberg","Sales Director","2016-08-23"
"0001670254-16-000105",1,"Mikael Drene","President COO","2016-08-22"
"0001670254-16-000106",1,"Mikael Drene","President & COO","2016-08-23"
"0001445095-16-000005",1,"Philip Kithil","CEO","2016-08-23"
"0001670254-16-000104",4,"Jeff Hitchcock","Benefit Director","2016-08-22"
"0001670254-16-000104",2,"Edward Raskin","VP Public Benefit Development & Corporate Strategy","2016-08-22"
"0001670254-16-000104",3,"Serafina Raskin","Vice President, General Counsel and Corporate Secretary","2016-08-22"
"0001670254-16-000103",1,"Jacob Epstein","CoFounder","2016-08-18"
"0001670254-16-000104",1,"Gilbert Clarke","CFO","2016-08-22"
"0001625242-16-000169",1,"Ryan Huss","COO","2016-08-22"
"0001647869-16-000003",1,"Abigail Edgeciff-Johnson","Chief Executive Officer","2016-08-22"
"0001670254-16-000101",1,"Kori Chen","COO","2016-08-19"
"0001670254-16-000102",1,"Silvano Hernandez","Managing member","2016-08-19"
"0001670254-16-000102",2,"William Bonhorst","co-founder","2016-08-19"
"0001682495-16-000004",1,"Uriel Ortiz","President","2016-08-17"
"0001680454-16-000003",3,"/s/ Michael Ashe","Chief Product Officer, Director","2016-08-19"
"0001680454-16-000003",2,"/s/ Martin Sherene","CFO/CTO, Director","2016-08-19"
"0001680454-16-000003",4,"/s/ Mokyi Chow","Secretary/Chief Creative Director, Director","2016-08-19"
"0001680454-16-000003",1,"/s/ Yue Niu","CEO, Director","2016-08-19"
"0001665160-16-000088",1,"Robert Colangelo","CEO and Founding Farmer","2016-08-18"
"0001670254-16-000100",1,"Josh Hare","Founder & CEO","2016-08-18"
"0001665160-16-000088",2,"Carl Wenz","Co-Founder and CFO","2016-08-18"
"0001682495-16-000002",1,"Patrick Noel","President","2016-08-18"
"0001670254-16-000099",1,"Antony Evans","CEO","2016-08-16"
"0001680634-16-000017",1,"Brenden Dougherty","CEO","2016-08-15"
"0001670254-16-000098",1,"Paul Scanlan","Cofounder & CEO","2016-08-15"
"0001670254-16-000098",2,"Terri Lubaroff","Secretary","2016-08-15"
"0001644600-16-000180",1,"Michael Goldstein","Principal Executive Officer, Principal Accounting Officer, Principal Financial Officer and Director","2016-08-12"
"0001665160-16-000087",1,"Kevin Walker","Founder and Chief Executive Officer","2016-08-11"
"0001665160-16-000087",2,"Chris Hone","Co-Founder and Chief Sales Officer","2016-08-11"
"0001670254-16-000090",1,"Geoffrey Libby","Operations Manager","2016-08-10"
"0001670254-16-000090",2,"Nick A. Olivero","Managing Member","2016-08-10"
"0001625242-16-000160",1,"Gordon Clements","Presidnet","2016-08-10"
"0001681772-16-000001",1,"Ricardo Barbaran","Presiden/CEO","2016-08-10"
"0001644600-16-000175",1,"David Glickman","Principal Financial Officer, Principal Accounting Officer, Director","2016-08-10"
"0001644600-16-000175",2,"Chris Furlong","Director","2016-08-10"
"0001670254-16-000087",1,"Mark Wu","COO","2016-08-03"
"0001670254-16-000087",2,"Ian Bushong","CTO","2016-08-04"
"0001670254-16-000086",1,"Josh Hare","Founder & CEO","2016-08-05"
"0001644600-16-000174",1,"Michael Goldstein","Principal Executive Officer, Principal Financial Officer, Principal Accounting Officer and Director","2016-08-08"
"0001679372-16-000008",1,"Ash Kumra","President","2016-08-08"
"0001670254-16-000084",2,"William Bonhorst","Co-Founder, CEO","2016-07-10"
"0001670254-16-000084",1,"Ray Chintalapati","Co-Founder, CTO","2016-07-12"
"0001670254-16-000082",2,"Adam Tucker","CEO / Founder","2016-08-04"
"0001670254-16-000082",1,"Matthew Leebert","CTO / Founder","2016-08-04"
"0001680454-16-000001",1,"/s/ Yue Niu","CEO, Director","2016-08-04"
"0001680454-16-000001",2,"/s/ Martin Sherene","CFO/CTO, Director","2016-08-04"
"0001680454-16-000001",3,"/s/ Michael Ashe","Chief Product Officer, Director","2016-08-04"
"0001680454-16-000001",4,"/s/ Mokyi Chow","Secretary/Chief Creative Director, Director","2016-08-04"
"0001665160-16-000086",1,"William Koch","Founder and Managing Partner","2016-08-03"
"0001665160-16-000086",2,"Gary Fenton","Founder and Managing Partner","2016-08-03"
"0001680634-16-000015",1,"Brenden Dougherty","CEO","2016-08-03"
"0001674319-16-000010",2,"/s/ Todd Cory O'Halloran","CFO, Director","2016-08-03"
"0001674319-16-000010",1,"/s/ Michael P. Moormeier","CEO, Director","2016-08-03"
"0001674319-16-000009",1,"/s/ Michael P. Moormeier","CEO, Director","2016-08-03"
"0001674319-16-000009",2,"/s/ Todd Cory O'Halloran","CFO, Director","2016-08-03"
"0001665160-16-000085",2,"Gary Fenton","Founder and Managing Partner","2016-08-03"
"0001665160-16-000085",1,"William Koch","Founder and Managing Partner","2016-08-03"
"0001677351-16-000001",3,"/s/ Ronald Scott","CFO","2016-08-02"
"0001677351-16-000001",2,"/s/ Bojan Didic","President","2016-08-02"
"0001677351-16-000001",1,"/s/ Alfonso J. Cervantes","CEO","2016-08-02"
"0001665160-16-000084",2,"Gary Fenton","Founder and Managing Partner","2016-08-02"
"0001677351-16-000003",2,"/s/ Carl Dunlap","Director","2016-08-02"
"0001677351-16-000003",1,"/s/ Jon Wuebben","CEO/CFO","2016-08-01"
"0001665160-16-000084",1,"William Koch","Founder and Managing Partner","2016-08-02"
"0001670254-16-000081",1,"Antony Evans","CEO","2016-08-02"
"0001681345-16-000001",1,"Paul U Desir","President","2016-08-02"
"0001665160-16-000083",1,"William Koch","Founder and Managing Partner","2016-08-01"
"0001665160-16-000083",2,"Gary Fenton","Founder and Managing Partner","2016-08-01"
"0001670254-16-000079",1,"Silvano Hernandez","Co-founder","2016-07-29"
"0001670254-16-000079",2,"William Bonhorst","Co-Founder","2016-07-29"
"0001670254-16-000077",1,"Travis Moore","Cofounder","2016-07-28"
"0001670254-16-000077",2,"Sam Kazemian","CEO","2016-07-28"
"0001625242-16-000141",1,"/s/ Yashar Behzadi","CEO","2016-07-28"
"0001625242-16-000135",1,"/s/ Ryan Huss","COO","2016-07-28"
"0001625242-16-000132",1,"/s/ Anders Stubkjaer","COO/CFO","2016-07-28"
"0001625242-16-000132",2,"/s/ John H. West","CEO","2016-07-28"
"0001665160-16-000081",2,"Gary Fenton","Managing Partner","2016-07-27"
"0001665160-16-000081",1,"William Koch","Managing Partner","2016-07-27"
"0001675554-16-000004",2,"Philip Kromer","President","2016-07-26"
"0001675554-16-000004",1,"Preston Swincher","CEO","2016-07-26"
"0001670254-16-000076",1,"Mikael Drene","President COO","2016-07-23"
"0001670254-16-000076",2,"Jim Nyberg","Sales Director","2016-07-26"
"0001670254-16-000074",1,"Jacob M Muhleman","President and CEO","2016-07-26"
"0001675585-16-000006",1,"Fabio Villari","President","2016-07-26"
"0001675585-16-000005",1,"James Spencer","President","2016-07-26"
"0001677548-16-000001",1,"Yanli Gong","CEO","2016-07-26"
"0001674319-16-000005",1,"/s/ Dave Girgenti","CEO","2016-07-25"
"0001665160-16-000079",1,"Chad Newell","CEO","2016-07-22"
"0001679372-16-000007",1,"Ash Kumra","President","2016-07-21"
"0001680153-16-000001",1,"Christopher Pappas","Chief Executive Officer","2016-07-21"
"0001679373-16-000003",2,"Scott Stewart Thompson","Director","2016-07-21"
"0001679373-16-000003",1,"Brandi LeAnn DeCarli","Director","2016-07-21"
"0001647869-16-000002",1,"Abigail Edgecliff Johnson","Chief Executive Officer","2016-07-19"
"0001680041-16-000001",1,"Margaret E. Wirth","Director","2016-07-19"
"0001679372-16-000006",1,"Ash Kumra","President","2016-07-19"
"0001679373-16-000001",2,"Scott Stewart Thompson","Director","2016-07-18"
"0001679373-16-000001",1,"Brandi LeAnn DeCarli","Director","2016-07-18"
"0001679372-16-000004",1,"Abigail Edgecliffe-Johnson","Chief Executive Officer","2016-07-15"
"0001679372-16-000002",1,"Ash Kumra","President","2016-07-15"
"0001667014-16-000003",2,"Jane Simon","Co-Founder","2016-07-14"
"0001667014-16-000003",1,"John Lustina","Co-Founder","2016-07-14"
"0001678997-16-000002",4,"Frank Phillips","Director and Secretary","2016-07-12"
"0001678997-16-000002",3,"Bert Massey","Director and President","2016-07-12"
"0001678997-16-000002",2,"Walt Runkis","Treasurer","2016-07-12"
"0001678997-16-000002",1,"Walt Runkis","Chairman","2016-07-12"
"0001679526-16-000003",2,"Doug Dorsey","Vice President","2016-07-14"
"0001679526-16-000003",1,"Jason Matthews","CEO","2016-07-14"
"0001674207-16-000002",2,"Taylor Myers","CTO and Voting Member","2016-07-12"
"0001674207-16-000002",1,"Paul LaPorte","CEO and Voting Member","2016-07-12"
"0001674207-16-000002",3,"Ryan Fisher","COO and Voting Member","2016-07-12"
"0001675585-16-000004",1,"James Spencer","President","2016-07-12"
"0001670254-16-000073",1,"Joshua E Morton","President","2016-07-07"
"0001609838-16-000003",1,"/s/ Diego Villarreal","CEO","2016-07-07"
"0001670254-16-000071",1,"Kori Chen","Chief Operating Officer","2016-07-06"
