"ACCESSION_NUMBER","ID","ISSUER","ISSUERSIGNATURE","ISSUERTITLE"
"0001665160-16-000069",1,"qaZING, Inc.","Jason Garland","CEO"
"0001670254-16-000040",1,"Rocket Innovations, Inc.","Joseph Lemay","CEO"
"0001670254-16-000037",1,"EveryFit, Inc.","Sombit Mishra","CEO"
"0001670254-16-000035",1,"Kibin, Inc.","Travis Biziorek","CEO"
"0001670254-16-000032",1,"Nextdoorganics, Inc.","Kris Schumacher","CFO"
"0001674319-16-000003",1,"MobileSpike, Inc.","/s/ Michael P Moormeier","CEO"
"0001670254-16-000024",1,"Sam Lee Laundry LLC","David Gluck","Managing Member"
"0001670254-16-000030",1,"Exemplars Inc.","Timothy M. O'Connor","CEO"
"0001670254-16-000026",1,"Kindred Brands, Inc.","Andy Fox","CEO"
"0001670254-16-000022",1,"Beta Bionics, Inc.","Edward Damiano","President and CEO"
"0001644600-16-000137",1,"StartMart Cleveland, Inc.","Charles Stack","CEO"
"0001644600-16-000134",1,"MF Fire","Paul LaPorte","CEO and Voting Member"
"0001670254-16-000020",1,"Legion M Entertainment, Inc.","Jeff Annison","President"
"0001665160-16-000068",1,"GameTree PBC","John Uke","CEO"
"0001665160-16-000067",1,"Graphic Armor, Inc.","Adam Glickman","CEO"
"0001644600-16-000132",1,"NextRX Inc.","Ralf-Rainer von Albedyhll","CEO"
"0001665160-16-000058",1,"qaZING, Inc.","Jason Garland","CEO"
"0001670254-16-000016",1,"Subsector Solutions Corporation","Eric Fulton","CEO"
"0001665160-16-000056",1,"GameTree PBC","John Uke","President/CEO"
"0001665160-16-000055",1,"qaZING, Inc.","Jason Garland","CEO"
"0001670254-16-000015",1,"Do., LLC","Heather McDougall","Chief Manager"
"0001670254-16-000012",1,"N1CE USA, LLC","Thomas Van Hare","CFO and Director of Investor Relations"
"0001670254-16-000010",1,"Rodeo Donut, LLC","nicki kerbs","VP"
"0001670254-16-000008",1,"Urban Juncture, Inc.","Bernard Loyd","President"
"0001674421-16-000002",1,"Bloomery Investment Holdings, LLC","Linda S. Losey","Manager, Member"
"0001674180-16-000002",1,"Native Hostel Austin LLC","Michael R. Dickson","President"
"0001670254-16-000002",1,"TAXA Biotechnologies Inc","Antony Evans","CEO"
"0001644600-16-000127",1,"Gigmor, Inc","David Baird","CEO"
"0001669760-16-000047",1,"Bloomery Investment Holdings, LLC","Linda S. Losey","Manager, Member"
"0001665160-16-000129",1,"RockmaniaLive, INC","Abbey Konowitch","Founder, Executive Producer"
"0001684715-16-000001",1,"Sugar Refinery, LLC","Amrita Karnani","Manager"
"0001679413-16-000001",1,"Lifeblink Inc","/s/ Dave Girgenti","CEO"
"0001685706-16-000003",1,"Two A&H Entertainment, LLC","Hugo Gamboa","Manager"
"0001685706-16-000001",1,"Two A&H Entertainment, LLC","Hugo Gamboa","Manager"
"0001683142-16-000001",1,"WORDEGO INC","OKAN EROL","PRESIDENT / CEO"
"0001680454-16-000004",1,"Swaggle Inc.","/s/ Yue Niu","CEO, Director"
"0001665160-16-000128",1,"LRF Thoroughbred Fund LLC","William Koch","Founder and Managing Partner"
"0001670254-16-000139",1,"Red Bay Coffee Company","keba konte","ceo founder"
"0001682864-16-000006",1,"Lion International Consulting, Inc.","Dexter Dixon","President"
"0001685446-16-000001",1,"Aquinas-TL Smith #25, LLC","Manfred Sternberg","President, Affiliated Commercial Services, Inc. (Issuer Manager)"
"0001684570-16-000002",1,"MIZAYA INC.","Kencle Windross","President"
"0001665160-16-000126",1,"RockmaniaLive, INC","Abbey Konowitch","Founder, Executive Producer"
"0001681772-16-000003",1,"GLOBAL ELECTRIC TRANSPORT INC","Ricardo Barbaran","CEO"
"0001669191-16-000046",1,"Kindred Brands Inc.","Andy Fox","Principal Executive Officer"
"0001685501-16-000001",1,"New Media, Inc.","Shenghua Hong","President/CEO"
"0001670254-16-000138",1,"N1CE USA, LLC","Thomas C. Van Hare","Director of Investor Relations"
"0001670254-16-000137",1,"My Trail Company, PBC","Demetri Coupounas","CEO"
"0001684972-16-000001",1,"Flying Nun Collective, LLC","Jessica Hughes","Manager"
"0001670254-16-000135",1,"Boxes Inc.","Solomon Engel","CEO"
"0001670254-16-000133",1,"Haint Blue Brewing Company LLC","Keith Sherrill","Founder | CEO"
"0001669191-16-000035",1,"Kindred Brands Inc.","Andy Fox","Principal Executive Officer"
"0001665160-16-000092",1,"investFeed Inc.","Ron Chernesky","CEO"
"0001685112-16-000003",1,"Florida Equity Fund Inc","Eric Johnson","President"
"0001685112-16-000006",1,"Florida Equity Fund Inc","Eric Johnson","President"
"0001685112-16-000004",1,"Florida Equity Fund Inc","Eric Johnson","President"
"0001685112-16-000005",1,"Florida Equity Fund Inc","Eric Johnson","President"
"0001685112-16-000001",1,"Florida Equity Fund Inc","Eric Johnson","President"
"0001670254-16-000132",1,"VooDoo Spirits, Inc.","Jacob Muhleman","President and CEO"
"0001665160-16-000091",1,"Sondors Electric Car Co","Storm Sondors","Founder"
"0001665160-16-000089",1,"Sondors Electric Car Co","Storm Sondors","Founder"
"0001670254-16-000130",1,"Thisisground Holdings, Inc.","Michael Macadaan","President / CEO"
"0001670254-16-000128",1,"MobileSpike Inc.","Michael Moormeier","CEO"
"0001670254-16-000127",1,"EveryFit, Inc.","Sombit Mishra","CEO"
"0001670254-16-000126",1,"My Trail Company, PBC","Demetri Coupounas","CEO"
"0001670254-16-000124",1,"MOBODEXTER INC","Chandramouli Srinivasan","CoFounder, CEO & President"
"0001670254-16-000122",1,"Cleveland Whiskey LLC","Tom Lix","CEO"
"0001625242-16-000171",1,"BYS Daily","/s/ Ryan Huss","COO"
"0001670254-16-000121",1,"Red Bay Coffee Company","keba konte","ceo"
"0001670254-16-000119",1,"VetPronto - Mobile Veterinarians Inc.","Joe Waltman","CEO"
"0001670254-16-000118",1,"Beta Bionics, Inc.","Ed Damiano","CEO"
"0001670254-16-000116",1,"Community Ventures","Jennifer Kassan","President"
"0001682697-16-000003",1,"Alive Global Water, Inc.","Dexroy Donaldson","President"
"0001670254-16-000115",1,"Exemplars Inc.","Timothy M. O'Connor","CEO"
"0001670254-16-000114",1,"Hawaiian Ola Brewing Corporation","Brett Jacobson","CEO"
"0001670254-16-000113",1,"N1CE USA, LLC","Thomas Van Hare","Director of Investor Relationship"
"0001683638-16-000001",1,"B3 MEDIA GROUP INC","LaVonne Idlette","President"
"0001679373-16-000005",1,"Farm From a Box Inc.","Scott Stewart Thompson","President"
"0001445095-16-000006",1,"ATMOCEAN INC","Philip Kithil","CEO"
"0001682240-16-000001",1,"Collective HTX, LLC","Thuy-My Luong","Chief Executive Officer"
"0001683513-16-000004",1,"AAA HOME INVESTMENTS INC.","Noe Perrin Fontana","President"
"0001670254-16-000112",1,"WePower App, Inc.","Adam Tucker","Founder / CEO"
"0001675554-16-000005",1,"Vigilante Gaming Bar, LLC","Preston Swincher","CEO"
"0001676480-16-000003",1,"Brewer's Table - East Austin, LLC","Ali Sabzevari","Manager"
"0001682915-16-000011",1,"RealtyReturns, Inc.","Rexford R. Hibbs","CEO"
"0001683264-16-000001",1,"Kayak Concepts LLC","Buddy Doyle","President"
"0001644600-16-000185",1,"MF Fire","Paul LaPorte","CEO and Voting Member"
"0001670254-16-000111",1,"Sam Lee Laundry LLC","David Gluck","Managing Member"
"0001674180-16-000007",1,"Native Hostel Austin LLC","Michael Dickson","President"
"0001682915-16-000009",1,"RealtyReturns, Inc.","Rexford R. Hibbs","CEO"
"0001670254-16-000110",1,"Beta Bionics, Inc.","Ed Damiano","CEO"
"0001683099-16-000001",1,"CHARLES HOLDINGS, CORP","Carl H. Charles","President"
"0001679373-16-000004",1,"Farm From a Box Inc.","Scott Stewart Thompson","President"
"0001670254-16-000107",1,"Ohos, Inc.","David A Needham","CEO/CO-founder"
"0001682495-16-000009",1,"Online Portal, Inc.","Patrick Noel","President"
"0001682664-16-000002",1,"TASEAH DEVELOPMENT CORP","James E. Ward Jr","President/CEO"
"0001682664-16-000001",1,"TASEAH DEVELOPMENT CORP","James E. Ward Jr","President/CEO"
"0001682883-16-000001",1,"NAMA-J Farms Inc","Henry N Johnson","President"
"0001670254-16-000105",1,"N1CE USA, LLC","Thomas Van Hare","Director of Investor Relations"
"0001670254-16-000106",1,"N1CE USA, LLC","Thomas Van Hare","Director of Investor Relations"
"0001445095-16-000005",1,"ATMOCEAN INC","Philip Kithil","CEO"
"0001670254-16-000104",1,"Beta Bionics, Inc.","Ed Damiano","CEO"
"0001670254-16-000103",1,"Rocket Innovations, Inc.","Joseph Lemay","CEO"
"0001625242-16-000169",1,"BYS Daily","Ryan Huss","COO"
"0001647869-16-000003",1,"RaceYa, Inc.","Abigail Edgecliff-Johnson","Chief Executive Officer"
"0001670254-16-000102",1,"Vive! Restaurant Group LLC","William Bonhorst","co-founder"
"0001670254-16-000101",1,"Red Bay Coffee Company","Keba Konte","CEO"
"0001682495-16-000004",1,"Red Empire Real Estate Investments, Inc","Uriel Ortiz","President"
"0001680454-16-000003",1,"Swaggle Inc.","/s/ Yue Niu","CEO, Director"
"0001665160-16-000088",1,"Green Sense Farms, LLC","Robert Colangelo","CEO"
"0001670254-16-000100",1,"Hops and Grain Production, LLC","Josh Hare","Founder & CEO"
"0001682495-16-000002",1,"Online Portal, Inc.","Patrick Noel","President"
"0001670254-16-000099",1,"TAXA Biotechnologies Inc","Antony Evans","CEO"
"0001680634-16-000017",1,"OneGlobe Citizen","Brenden Dougherty","CEO"
"0001670254-16-000098",1,"Legion M Entertainment, Inc.","Jeff Annison","President"
"0001644600-16-000180",1,"SwitchPitch, LLC","Michael Goldstein","Principal Executive Officer"
"0001665160-16-000087",1,"TurtleWise, Inc.","Kevin Walker","Founder and Chief Executive Officer"
"0001670254-16-000090",1,"Sam Lee Laundry LLC","David Gluck","Managing Member"
"0001625242-16-000160",1,"SecurShade INC","Gordon Clements","Presidnet"
"0001681772-16-000001",1,"GLOBAL ELECTRIC TRANSPORT INC","Ricardo Barbaran","President/CEO"
"0001644600-16-000175",1,"Primo Connect, Inc.","David Glickman","CEO"
"0001670254-16-000087",1,"Discotech, Inc.","Jeffrey Ian Chen","CEO & Co-Founder"
"0001670254-16-000086",1,"Hops and Grain Production, LLC","Josh Hare","Founder & CEO"
"0001644600-16-000174",1,"SwitchPitch, LLC","Michael Goldstein","Principal Executive Officer"
"0001679372-16-000008",1,"Youngry, LLC","Ash Kumra","President"
"0001670254-16-000084",1,"One Technologies, Inc.","William Bonhorst","Co-Founder, CEO"
"0001670254-16-000082",1,"WePower App, Inc.","Adam Tucker","CEO / Founder"
"0001680454-16-000001",1,"Swaggle Inc.","/s/ Yue Niu","CEO, Director"
"0001665160-16-000086",1,"LRF Thoroughbred Fund LLC","William Koch","Founder and Managing Partner"
"0001680634-16-000015",1,"OneGlobe Citizen","Brenden Dougherty","CEO"
"0001674319-16-000010",1,"MobileSpike, Inc.","/s/ Michael P. Moormeier","CEO, Director"
"0001674319-16-000009",1,"MobileSpike, Inc.","/s/ Michael P. Moormeier","CEO, Director"
"0001665160-16-000085",1,"LRF Thoroughbred Fund LLC","William Koch","Founder and Managing Partner"
"0001677351-16-000001",1,"Salon de Lingerie, LLC","/s/ Alfonso J. Cervantes","CEO"
"0001665160-16-000084",1,"LRF Thoroughbred Fund LLC","William Koch","Founder and Managing Partner"
"0001677351-16-000003",1,"Content Launch Solutions, Inc.","/s/ Jon Wuebben","CEO/CFO"
"0001670254-16-000081",1,"TAXA Biotechnologies Inc","Antony Evans","CEO"
"0001681345-16-000001",1,"Colin Holdings, Corp","Paul U Desiir","President"
"0001665160-16-000083",1,"LRF Thoroughbred Fund LLC","William Koch","Founder and Managing Partner"
"0001670254-16-000079",1,"Vive! Restaurant Group LLC","William Bonhorst","Co-Founder"
"0001670254-16-000077",1,"Everipedia, Inc.","Mahbod Moghadam","Cofounder"
"0001625242-16-000141",1,"popSLATE Media Inc","/s/ Yashar Behzadi","CEO"
"0001625242-16-000135",1,"BYS Daily","/s/ Ryan Huss","COO"
"0001625242-16-000132",1,"Bomboard LLC","/s/ Anders Stubkjaer","COO/CFO"
"0001665160-16-000081",1,"LRF Thoroughbred Fund LLC","William Koch","Managing Partner"
"0001670254-16-000076",1,"N1CE USA, LLC","Thomas Van Hare","Director of Investor Relations"
"0001670254-16-000074",1,"VooDoo Spirits, Inc.","Jacob M Muhleman","President and CEO"
"0001675554-16-000004",1,"Vigilante Gaming Bar, LLC","Preston Swincher","CEO"
"0001675585-16-000006",1,"Viaggiatori, LLC","Fabio Villari","President"
"0001675585-16-000005",1,"AXE A.I. TECHNOLOGIES LLC","James Spencer","President"
"0001677548-16-000001",1,"Housebook, Inc","Yanli Gong","CEO"
"0001674319-16-000005",1,"Lifeblink Inc","/s/ Dave Girgenti","CEO"
"0001665160-16-000079",1,"Snapwire Media, Inc.","Chad Newell","CEO"
"0001679372-16-000007",1,"Youngry, LLC","Ash Kumra","President"
"0001680153-16-000001",1,"Yokal Productions II Inc.","Christopher Pappas","Chief Executive Officer"
"0001679373-16-000003",1,"Farm From a Box Inc.","Scott Stewart Thompson","President"
"0001647869-16-000002",1,"RaceYa, Inc.","Abigail Edgecliff Johnson","Cheif Executive Officer"
"0001680041-16-000001",1,"Maternova, Inc.","Margaret E. Wirth","CEO"
"0001679372-16-000006",1,"Youngry, LLC","Ash Kumra","President"
"0001679373-16-000001",1,"Farm From a Box Inc.","Scott Stewart Thompson","President"
"0001679372-16-000004",1,"RaceYa, Inc.","Abigail Edgecliffe-Johnson","Chief Executive Officer"
"0001679372-16-000002",1,"Youngry, LLC","Ash Kumra","President"
"0001667014-16-000003",1,"Big Brother Holding Company, LLC","John Lustina","Co-Founder"
"0001678997-16-000002",1,"CloudSpray Corp","Walt Runkis","Chairman"
"0001679526-16-000003",1,"W. Blazer Holdings LLC","Jason Matthews","CEO"
"0001674207-16-000002",1,"MF Fire","Paul LaPorte","CEO and Voting Member"
"0001675585-16-000004",1,"AXE A.I. TECHNOLOGIES LLC","James Spencer","President"
"0001670254-16-000073",1,"Proof of Concept, LLC","Joshua E Morton","President"
"0001609838-16-000003",1,"Around Labs, Inc.","/s/ Diego Villarreal","CEO"
"0001670254-16-000071",1,"Red Bay Coffee Company","Keba Konte","Founder"
"0001670254-16-000069",1,"Vive! Restaurant Group LLC","William Bonhorst","Co-Founder"
"0001677843-16-000002",1,"VG Smartglass LLC","Michael E. Stacey","Vice President"
"0001625242-16-000120",1,"BYS Daily Inc","/s/ Ryan Huss","COO"
"0001678208-16-000004",1,"Uncensored Freedom Inc.","Kent A. Hachmeister","CEO/President"
"0001675585-16-000002",1,"James William Spencer","James William Spencer","President"
"0001678623-16-000001",1,"SEED VOLAGE TECH CORP","Tami Harrison","CEO"
"0001676570-16-000005",1,"SharkStopper, Inc.","/s/ Brian Wynne","CEO"
"0001670254-16-000067",1,"Monday Night Mile LLC | DBA BeerFit","Marc Hodulich","Founder & CEO"
"0001675896-16-000002",1,"Treycent, Inc","Donald McSwain","President"
"0001676208-16-000001",1,"Viaggiatori, LLC","Fabio Villari","President"
"0001665160-16-000183",1,"ITFT (Innovative Technology for Transportation)","Matthew Godley","Founder & CEO"
"0001693084-16-000001",1,"UpCurrent, Inc.","Victor A. Montoya","Manager"
"0001665160-16-000180",1,"Gotham Ballers Inc","Mark Aguirre","President & Director"
"0001685751-16-000001",1,"WOLFPRINT 3D INC","Timmu Toke","Principal Executive Officer"
"0001684321-16-000003",1,"Italian Cafe, LLC","Christy J. Jepson","Manager"
"0001684321-16-000001",1,"Italian Cafe, LLC","Chris Jepson","Manager"
"0001692818-16-000003",1,"Safety First Arms, Inc.","Victor A. Montoya","Manager"
"0001669191-16-000083",1,"Kindred Brands Inc.","Andy Fox","Principal Executive Officer"
"0001213900-16-019667",1,"Snapwire Media, Inc.","Chad Newell","CEO"
"0001690794-16-000001",1,"StressPal, Inc.","Victor A. Montoya","Manager"
"0001611945-16-000005",1,"Art Craft Entertainment, Inc.","/s/ J. TODD COLEMAN","CEO"
"0001670254-16-000236",1,"Ridgemont Outfitters, Inc.","A Hall","CEO"
"0001680041-16-000004",1,"Maternova, Inc.","Margaret E. Wirth","CEO"
"0001670254-16-000235",1,"VoiceVoice, Inc. dba MaestroConference","Brian Burt","Founder & President"
"0001679373-16-000008",1,"Farm From a Box Inc.","Scott Stewart Thompson","President"
"0001682697-16-000005",1,"Alive Global Water, Inc.","dexroy donaldson","PRESIDENT"
"0001677843-16-000003",1,"VG Smartglass LLC","Mike Stacey","CEO"
"0001670254-16-000232",1,"Magic Instruments, Inc.","Brian Fan","CEO and President"
"0001670254-16-000234",1,"Sour Rice, LLC","Jamison Wiggins","Owner"
"0001665160-16-000175",1,"InGen Dynamics, Inc.","Arshad Hisham","Founder, CEO"
"0001664526-16-000009",1,"Play Impossible Corp","/s/Brian Monnin","CEO"
"0001669191-16-000080",1,"Court Innovations Incorporated","MJ Cartwright","Principal Executive Officer"
"0001691774-16-000001",1,"Texas Zebo, LLC","John Long","Managing Partner"
"0001670254-16-000229",1,"Somogyi AgTech LLC dba Anikona Farm","Aniko M. Somogyi","Founder"
"0001682864-16-000008",1,"Lion International Consulting, Inc.","dexter dixon","PRESIDENT"
"0001665160-16-000172",1,"Better World Spirits","Wade Keech","THE PHILANTHROPIC SPIRIT"
"0001670254-16-000225",1,"Brilliant & Precise LLC","Rashaan Everett","CEO"
"0001670254-16-000223",1,"Fun-gi Games LLC","Alfred Fung","CEO"
"0001669191-16-000074",1,"Lawrence Hunt Fashion, Inc.","Jeffrey Schattner","Principal Executive Officer"
"0001691341-16-000008",1,"Damsel Productions LLC","/s/ Megan Summers","Manager"
"0001691341-16-000006",1,"Damsel Productions LLC","/s/ Megan Summers","Manager"
"0001670254-16-000218",1,"Haint Blue Brewing Company LLC","Keith W Sherrill","CEO"
"0001690909-16-000003",1,"Ellison Eyewear, Inc","Aristotle Loumis","Chief Executive Officer"
"0001688437-16-000007",1,"Eve Fund 1, LLC.","Gregory Parker","CEO / Managing Member"
"0001690909-16-000001",1,"Ellison Eyewear, Inc.","Aristotle Loumis","Chief Executive Officer"
"0001680454-16-000006",1,"Swaggle Inc.","/s/ Yue Niu","CEO, Director"
"0001665160-16-000170",1,"Vanguard Moto Inc.","Francois-Xavier Terny","CEO"
"0001144204-16-137950",1,"StarringClaraBow, Inc.","/s/ Barry Fasman","CEO"
"0001670254-16-000217",1,"Airbitz, Inc.","Paul Puey","CEO"
"0001684715-16-000003",1,"Sugar Refinery, LLC","Amrita Karnani","Manager"
"0001686564-16-000003",1,"LGBT Weddings, Inc.","Kimberly Vaughan","President & CEO"
"0001670254-16-000216",1,"Everipedia, Inc.","Mahbod Moghadam","President"
"0001665160-16-000168",1,"LRF Thoroughbred Fund LLC","William Koch","Founder and Managing Partner"
"0001665160-16-000167",1,"Snapwire Media, Inc.","Chad Newell","CEO"
"0001691448-16-000001",1,"Barber Surgeons Inc.","Dr. Justin Rome","Principal Executive Officer"
"0001670254-16-000214",1,"Niveau Brands, Inc.","Elliott Johnson","CEO"
"0001670254-16-000213",1,"MOBODEXTER INC","Chandramouli Srinivasan","CoFounder, CEO & President"
"0001686564-16-000001",1,"LGBT Weddings, Inc.","Kimberly Vaughan","President & CEO"
"0001670254-16-000211",1,"ClimateStore Inc.","Steven E. Bushnell","President, ClimateStore Inc."
"0001670254-16-000209",1,"Intentional Offerings, Inc. DBA Bolder Band","Amy L. Crouse","President"
"0001670254-16-000208",1,"Shape Labs Inc.","Alexandre Wayenberg","CEO"
"0001690216-16-000001",1,"Bronzebuck LLC","Alan Levin","Managing Partner"
"0001670254-16-000207",1,"Proof of Concept, LLC","Joshua E Morton","President"
"0001665160-16-000165",1,"Lincoln & Grant","David M. Rich","Founder & CEO"
"0001597895-16-000003",1,"Traveling Spoon","Stephanie Lawrence","Co-Chief Executive Officer"
"0001670254-16-000206",1,"Shape Labs Inc.","Alexandre Wayenberg","CEO"
"0001689502-16-000002",1,"Next Minute, Inc.","Rolv E. Heggenhougen","CEO"
"0001688545-16-000003",1,"Campagna Motors USA Inc.","Andre Morissette","Chief Executive Officer and Director"
"0001670254-16-000205",1,"TAXA Biotechnologies Inc","Antony Evans","CEO"
"0001665160-16-000160",1,"GolfBoard","Don Wildman","Co-Founder"
"0001685706-16-000005",1,"Two A&H Entertainment, LLC","Hugo Gamboa","Manager"
"0001670254-16-000203",1,"Powell Development Group, Inc.","Charles Powell","President, CEO"
"0001665160-16-000152",1,"Green Sense Farms, LLC","Robert Colangelo","CEO and Founding Farmer"
"0001670254-16-000201",1,"Hopster's LLC","lee cooper","ceo"
"0001684570-16-000008",1,"KAIDEN, INC.","kencle windross","PRESIDENT"
"0001684570-16-000007",1,"MIZAYA INC.","kencle windross","PRESIDENT"
"0001684570-16-000006",1,"MIZAYA INC.","kencle windross","PRESIDENT"
"0001144204-16-135022",1,"WORTHPOINT Corp","/s/ William Seippel","Chief Executive Officer"
"0001674421-16-000012",1,"Bloomery Investment Holdings, LLC","Linda Losey","Chief Operating Officer"
"0001688545-16-000002",1,"Campagna Motors USA Inc.","Andre Morissette","CEO"
"0001597895-16-000001",1,"Traveling Spoon","Stephanie Lawrence","Co-Chief Executive Officer"
"0001670254-16-000200",1,"CrowdMed, Inc.","Jared Heyman","CEO"
"0001665160-16-000150",1,"Jetpack Aviation","David Maymen","CEO"
"0001669760-16-000095",1,"iDisclose Test","Georgia Quinn","CEO"
"0001690042-16-000004",1,"BeatStars Inc.","Ibrahim Batshon","CEO"
"0001690042-16-000001",1,"BeatStars Inc.","Ibrahim Batshon","CEO"
"0001664526-16-000003",1,"Play Impossible Corporation","Brian Monnin","CEO"
"0001689758-16-000001",1,"Ocean Entertainment, Inc","Richard A Heaton","CEO"
"0001664526-16-000005",1,"Republic Restoratives LLC","Pia Carusone","Owner"
"0001670254-16-000198",1,"Scrap Connection, Inc.","Chris Yerbey","CEO"
"0001144204-16-134497",1,"StarringClaraBow, Inc.","/s/ Gene Massey","CFO"
"0001664526-16-000007",1,"ArtCraft Entertainment, Inc.","Jeffrey Todd Coleman","Chief Executive Officer & Secretary"
"0001681345-16-000004",1,"Colin Holdings, Corp","PAUL U DESIR","PRESIDENT"
"0001682664-16-000006",1,"TASEAH DEVELOPMENT CORP","James E. Ward Jr","President/CEO"
"0001682664-16-000005",1,"TASEAH DEVELOPMENT CORP","James E. Ward Jr","President/CEO"
"0001682664-16-000004",1,"TASEAH DEVELOPMENT CORP","James E. Ward Jr","President/CEO"
"0001670254-16-000196",1,"Shape Labs Inc.","Alexandre Wayenberg","CEO"
"0001670254-16-000197",1,"Subsector Solutions Corporation","Eric Fulton","CEO"
"0001670254-16-000193",1,"SlingFin, Inc.","Martin Zemitis","President"
"0001669191-16-000062",1,"Kindred Brands Inc.","Andy Fox","Principal Executive Officer"
"0001670254-16-000195",1,"Urban Juncture, Inc.","Bernard Loyd","President"
"0001670254-16-000192",1,"Kibin, Inc.","Travis Biziorek","CEO"
"0001670254-16-000191",1,"Kibin, Inc.","Travis Biziorek","CEO"
"0001670254-16-000190",1,"Kibin, Inc.","Travis Biziorek","CEO"
"0001670254-16-000189",1,"My Trail Company, PBC","Demetri Coupounas","CEO"
"0001670254-16-000187",1,"Adventure Clubs Inc.","Jedd Schroy","CEO"
"0001685501-16-000008",1,"New Media, Inc.","Shenghua Hong","President/CEO"
"0001625242-16-000175",1,"BYS Daily","/s/ Ryan Huss","COO"
"0001677548-16-000005",1,"Housebook, Inc","Yanli Gong","CEO"
"0001647869-16-000005",1,"RaceYa, Inc.","Abigail Edgecliffe-Johnson","Chief Executive Officer"
"0001684570-16-000005",1,"MIZAYA INC.","Kencle Windross","President"
"0001682883-16-000004",1,"NAMA-J Farms Inc","Henry Johnson","President"
"0001682385-16-000002",1,"Red Empire Real Estate Investments, Inc","Patrick Noel","Co-CEO"
"0001682495-16-000011",1,"Online Portal, Inc.","Patrick Noel","President"
